city,hotel,user_rating,text,landmarks,predicted_label,confidence,true_label,correct,is_augmented
Москва,Отель Марриотт Империал Плаза,10,"Роскошь в каждой детали. Интерьеры в стиле ар-деко впечатляют. Завтраки — одни из лучших в Москве, огромный выбор деликатесов. Сервис безупречен.","Кремль, Красная площадь",1,0.8402063846588135,1,True,
Москва,Отель Марриотт Империал Плаза,8,"Отель великолепный, но локация специфическая — рядом три вокзала, что накладывает отпечаток на контингент вокруг здания.","Кремль, Красная площадь",1,0.8137547373771667,1,True,
Москва,Sheraton Skypoint Luxe,9,"Идеально для транзита. Близко к Шереметьево, есть бесплатный трансфер. Спа-зона отличная, помогает расслабиться после перелета.","Кремль, Красная площадь",1,0.8028882145881653,1,True,
Москва,Sheraton Skypoint Luxe,7,"В номере было шумновато от взлетающих самолетов, несмотря на стеклопакеты. Еда в ресторане вкусная, но дорогая.","Кремль, Красная площадь",1,0.5826197862625122,0,False,
Москва,Звезды Арбата,10,"Жили в апартаментах. Удобно, что есть своя кухня, но при этом сервис пятизвездочного отеля. Расположение на Новом Арбате — в центре всех событий.","Кремль, Красная площадь",1,0.8194767236709595,1,True,
Москва,Звезды Арбата,9,"Всё на высоте, но парковка для гостей платная и стоит довольно дорого даже при проживании.","Кремль, Красная площадь",1,0.7153305411338806,1,True,
Москва,The Rooms Boutique Hotel,10,"Очень стильные и просторные номера. Необычный дизайн, вежливый персонал. В номере была даже кофемашина и хорошая акустическая система.","Кремль, Красная площадь",1,0.8248306512832642,1,True,
Москва,The Rooms Boutique Hotel,8,"Завтраки по меню, а не шведский стол, что не всегда удобно, если торопишься. До метро нужно немного пройтись.","Кремль, Красная площадь",1,0.576503574848175,1,True,
Москва,Отель в Центре Гимнастики Ирины Винер-Усмановой,10,"Новый современный отель. Очень чисто, спортивная атмосфера. Для тех, кто приехал на соревнования или сборы — идеальный вариант.","Кремль, Красная площадь",1,0.8636810779571533,1,True,
Москва,Отель в Центре Гимнастики Ирины Винер-Усмановой,8,"Находится в Новогорске, до центра Москвы добираться долго. Инфраструктура заточена под спортсменов.","Кремль, Красная площадь",1,0.6328076720237732,1,True,
Москва,Отель Садовое кольцо,9,"Классический особняк. Очень уютная спа-зона с бассейном и банями. В номере тепло, тихо и комфортно.","Кремль, Красная площадь",1,0.8566339612007141,1,True,
Москва,Отель Садовое кольцо,6,"Мебель уже немного уставшая, в классическом стиле, который требует обновления. Завтрак средний.","Кремль, Красная площадь",1,0.623001217842102,0,False,
Москва,Отель Петр I,9,"Превосходное расположение рядом с Большим театром. Очень вежливый персонал, классические интерьеры. Хороший бассейн.","Кремль, Красная площадь",1,0.8684085607528687,1,True,
Москва,Отель Петр I,7,"Сложная система кондиционирования, в номере было либо слишком жарко, либо дуло холодным воздухом.","Кремль, Красная площадь",1,0.6182445287704468,0,False,
Москва,Балчуг Кемпински Москва,10,Вид на Кремль и Собор Василия Блаженного из окна — это бесценно. Легендарный отель с высочайшим уровнем сервиса. Завтраки — эталон качества.,"Кремль, Красная площадь",1,0.8263847231864929,1,True,
Москва,Балчуг Кемпински Москва,8,"Интерьеры в стиле 'старой роскоши', кому-то может показаться старомодным. Но статус чувствуется во всем.","Кремль, Красная площадь",1,0.7161667943000793,1,True,
Москва,Maidens Hotel,9,"Маленький и очень уютный бутик-отель. Тихий переулок в центре. Персонал знает гостей по именам, очень персональный подход.","Кремль, Красная площадь",1,0.8445356488227844,1,True,
Москва,Maidens Hotel,10,"Тишина, чистота и комфорт. Дизайн очень сдержанный и приятный.","Кремль, Красная площадь",1,0.8421184420585632,1,True,
Москва,Бутик-Отель MYS,10,Очень инстаграмное место. Эстетика в каждой детали. Расположение в районе Кривоколенного переулка — идеальное место для прогулок по кафе и барам.,"Кремль, Красная площадь",1,0.8384703993797302,1,True,
Москва,Бутик-Отель MYS,9,"Номера небольшие, но очень функциональные. Идеально для пар или одиночных путешественников.","Кремль, Красная площадь",1,0.7474899888038635,1,True,
Москва,Movenpick Москва,10,"Шоколадный час в лобби — это фишка отеля! Очень современный дизайн, удобные кровати. Расположение на Таганке очень удобное.","Кремль, Красная площадь",1,0.866145670413971,1,True,
Москва,Movenpick Москва,9,Стеклянная стена в ванную — смелое решение. Всё очень технологично и чисто.,"Кремль, Красная площадь",1,0.8193568587303162,1,True,
Москва,Теплеево Резорт,9,"Отличный загородный отдых недалеко от Москвы. Красивая территория, свежий воздух, баня. Хорошее место для перезагрузки.","Кремль, Красная площадь",1,0.8553429245948792,1,True,
